,animal,correct,group,valid,trial,trial_type
0,1.0,0.0,control,True,0.0,training
1,1.0,1.0,control,True,1.0,training
2,1.0,0.0,control,True,2.0,training
3,1.0,0.0,control,True,3.0,training
4,1.0,0.0,control,True,4.0,training
5,1.0,1.0,control,True,5.0,training
6,1.0,1.0,control,True,6.0,training
7,1.0,0.0,control,True,7.0,training
8,1.0,1.0,control,True,8.0,training
9,1.0,0.0,control,True,9.0,training
10,1.0,1.0,control,True,10.0,training
11,1.0,0.0,control,True,11.0,training
12,1.0,0.0,control,True,12.0,training
13,1.0,0.0,control,True,13.0,training
14,1.0,0.0,control,True,14.0,training
15,1.0,0.0,control,True,15.0,training
16,1.0,0.0,control,True,16.0,training
17,1.0,0.0,control,True,17.0,training
18,1.0,0.0,control,True,18.0,training
19,1.0,1.0,control,True,19.0,training
20,1.0,0.0,control,True,20.0,training
21,1.0,0.0,control,True,21.0,training
22,1.0,0.0,control,True,22.0,training
23,1.0,0.0,control,True,23.0,training
24,1.0,1.0,control,True,24.0,training
25,1.0,0.0,control,True,25.0,training
26,1.0,1.0,control,True,26.0,training
27,1.0,0.0,control,True,27.0,training
28,1.0,1.0,control,True,28.0,training
29,1.0,0.0,control,True,29.0,training
30,1.0,1.0,control,True,30.0,training
31,1.0,0.0,control,True,31.0,training
32,1.0,1.0,control,True,32.0,training
33,1.0,1.0,control,True,33.0,training
34,1.0,1.0,control,True,34.0,training
35,1.0,1.0,control,True,35.0,training
36,1.0,1.0,control,True,36.0,training
37,1.0,1.0,control,True,37.0,training
38,1.0,0.0,control,True,38.0,training
39,1.0,1.0,control,True,39.0,training
40,1.0,0.0,control,False,40.0,training
41,1.0,0.0,control,False,41.0,training
42,1.0,0.0,control,False,42.0,training
43,1.0,0.0,control,False,43.0,training
44,1.0,0.0,control,False,44.0,training
45,1.0,0.0,control,False,45.0,training
46,1.0,0.0,control,False,46.0,training
47,1.0,0.0,control,False,47.0,training
48,1.0,0.0,control,False,48.0,training
49,1.0,0.0,control,False,49.0,training
50,1.0,1.0,control,True,50.0,early test
51,1.0,0.0,control,True,51.0,early test
52,1.0,0.0,control,True,52.0,early test
53,1.0,0.0,control,True,53.0,early test
54,1.0,0.0,control,True,54.0,early test
55,1.0,1.0,control,True,55.0,training
