,inferred dec temp,true dec temp,subject,inferred habitual tendency,true habitual tendency
0,3.790831,3.7926589332889598,0,0.37360382,0.1255534735609315
1,4.3343654,2.34751439201286,1,0.63239574,0.7420776605284746
2,5.8194904,4.410790284773736,2,0.4231356,0.3318656183187769
3,3.51183,2.573151354457739,3,0.43053123,0.4421297439386638
4,2.7210484,1.2059454615216558,4,0.41172764,0.9980746571973312
5,3.4544625,0.16657645818464684,5,0.337333,0.2575227910091228
6,6.289559,3.947675004092388,6,0.604866,0.7150472352940025
7,5.197119,4.560379929036118,7,0.3867488,0.23841050790322016
8,4.0449204,4.053633810965972,8,0.42868662,0.5559183448799443
9,3.0030372,1.3051785472745903,9,0.38351786,0.762365120327494
