,inferred dec temp,subject,inferred habitual tendency
0,2.2350118,0,7.2964044
1,1.99781,1,2.9950552
2,2.4408424,2,2.4069664
3,2.627217,3,2.8196175
4,2.123674,4,2.4090939
5,2.6053176,5,3.0782373
6,2.4329803,6,2.6412568
