,inferred dec temp,subject,inferred habitual tendency
0,1.7754624,0,5.1704955
1,1.6205398,1,3.584668
2,1.4378068,2,3.0415843
3,1.5620147,3,3.9379194
4,1.3653166,4,2.106388
5,1.5110711,5,2.9743516
6,1.6155603,6,4.5844193
