,,,,,,,,,,,,,,,,,,,,,
DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,
MEAN,27.5,22.5,35,37.5,54.28571429,70,83.33333333,88.57142857,86.66666667,90,92.5,92.5,85,95,90,95,97.5,,,,
SD,21.21320344,19.82062418,29.76095237,22.51983253,22.25394561,23.90457219,8.164965809,10.69044968,23.09401077,15.11857892,10.35098339,10.35098339,14.14213562,9.258200998,10.69044968,9.258200998,7.071067812,,,,
SEM,7.5,7.007648882,10.52208562,7.961963146,8.411200825,8.451542547,3.333333333,4.040610178,13.33333333,5.345224838,3.659625274,3.659625274,5,3.273268354,3.77964473,3.273268354,2.5,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,
MEAN,31.42857143,25.71428571,48.57142857,52.85714286,62.85714286,80,80,80,91.42857143,93.33333333,85.71428571,91.42857143,94.28571429,97.14285714,100,91.42857143,94.28571429,,,,
SD,25.44836041,22.25394561,22.67786838,31.99702367,24.29971585,17.88854382,24.49489743,16.32993162,10.69044968,10.32795559,15.11857892,10.69044968,9.759000729,7.55928946,0,10.69044968,9.759000729,,,,
SEM,9.618576132,8.411200825,8.571428571,12.09373819,9.184429296,7.302967433,10.95445115,8.164965809,4.040610178,4.216370214,5.714285714,4.040610178,3.688555568,2.857142857,0,4.040610178,3.688555568,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Day 2 090419,,,,,,,,,,,,,,,,,1,,MEAN / Group / Day,"SD ""","SEM """
6,R,R,R,R,R,,,,,,,,,,,,,0,,,
7,L,R,R,L,R,,,,,,,,,,,,,40,,,
8,R,R,R,R,-,,,,,,,,,,,,,0,,,
10,R,R,R,R,R,,,,,,,,,,,,,0,25.71428571,22.25394561,8.411200825
11,R,R,R,L,R,,,,,,,,,,,,,20,,,
12,R,R,R,R,R,,,,,,,,,,,,,0,,,
13,L,R,R,R,L,,,,,,,,,,,,,40,,,
14,L,R,R,L,L,,,,,,,,,,,,,60,,,
15,L,L,R,R,R,,,,,,,,,,,,,40,,,
16,R,L,R,R,R,,,,,,,,,,,,,20,,,
Day 4 110419,,,,,,,,,,,,,,,,,,,,,
1,L,R,R,R,R,,,,,,,,,,,,3,20,35,29.76095237,10.52208562
2,R,R,R,L,R,,,,,,,,,,,,,20,,,
3,L,R,L,R,R,,,,,,,,,,,,,40,,,
4,L,R,L,L,L,,,,,,,,,,,,,80,,,
5,R,R,R,R,L,,,,,,,,,,,,,20,,,
6,R,R,L,R,R,,,,,,,,,,,,,20,,,
7,L,L,L,L,R,,,,,,,,,,,,,80,,,
8,R,R,R,R,R,,,,,,,,,,,,,0,,,
10,R,R,L,R,R,,,,,,,,,,,,,20,48.57142857,22.67786838,8.571428571
11,L,R,L,R,L,,,,,,,,,,,,,60,,,
12,R,R,R,R,L,,,,,,,,,,,,,20,,,
13,L,R,R,L,L,,,,,,,,,,,,,60,,,
14,L,R,L,L,L,,,,,,,,,,,,,80,,,
15,L,R,L,R,L,,,,,,,,,,,,,60,,,
16,R,R,L,R,L,,,,,,,,,,,,,40,,,
Day 5 120419,,,,,,,,,,,,,,,,,,,,,
1,R,R,R,R,L,,,,,,,,,,,,4,20,37.5,22.51983253,7.961963146
2,L,R,L,L,R,,,,,,,,,,,,,60,,,
3,R,R,R,R,L,,,,,,,,,,,,,20,,,
4,L,L,R,L,R,,,,,,,,,,,,,60,,,
5,L,L,R,R,R,,,,,,,,,,,,,40,,,
6,R,R,R,R,R,,,,,,,,,,,,,0,,,
7,R,L,R,L,L,,,,,,,,,,,,,60,,,
8,R,R,R,L,L,,,,,,,,,,,,,40,,,
10,R,R,R,R,R,,,,,,,,,,,,,0,52.85714286,31.99702367,12.09373819
11,R,R,L,L,L,,,,,,,,,,,,,60,,,
12,L,R,R,R,L,,,,,,,,,,,,,40,,,
13,L,L,L,L,L,,,,,,,,,,,,,100,,,
14,R,R,L,L,L,,,,,,,,,,,,,50,,,
15,L,L,R,L,L,,,,,,,,,,,,,80,,,
16,R,L,L,R,L,,,,,,,,,,,,,40,,,
Day 6 150419,,,,,,,,,,,,,,,,,,,,,
1,R,R,R,R,L,,,,,,,,,,,,5,20,54.28571429,22.25394561,8.411200825
2,R,R,L,L,R,,,,,,,,,,,,,40,,,
3,L,L,R,L,R,,,,,,,,,,,,,60,,,
4,L,L,L,L,R,,,,,,,,,,,,,80,,,
5,L,L,R,L,R,,,,,,,,,,,,,60,,,
6,R,L,R,R,L,,,,,,,,,,,,,40,,,
7,L,L,R,L,L,,,,,,,,,,,,,80,,,
8,,,,,,,,,,,,,,,,,,,,,
10,R,L,L,L,L,,,,,,,,,,,,,80,62.85714286,24.29971585,9.184429296
11,L,L,R,L,L,,,,,,,,,,,,,80,,,
12,R,L,R,L,R,,,,,,,,,,,,,40,,,
13, L,L,L,L,L,,,,,,,,,,,,,100,,,
14,R,R,L,R,L,,,,,,,,,,,,,40,,,
15,L,L,R,L,R,,,,,,,,,,,,,60,,,
16,R,L,L,R,R,,,,,,,,,,,,,40,,,
Day 7 170419,,,,,,,,,,,,,,,,,,,,,
1,R,L,R,L,R,,,,,,,,,,,,6,40,70,23.90457219,8.451542547
2,L,L,R,L,L,,,,,,,,,,,,,80,,,
3,L,R,L,L,R,,,,,,,,,,,,,60,,,
4,L,L,L,L,L,,,,,,,,,,,,,100,,,
5,L,L,R,R,R,,,,,,,,,,,,,40,,,
6,L,L,R,L,R,,,,,,,,,,,,,60,,,
7,L,L,L,L,L,,,,,,,,,,,,,100,,,
8,R,L,L,L,L,,,,,,,,,,,,,80,,,
10,L,L,L,L,L,,,,,,,,,,,,,100,80,17.88854382,7.302967433
11,L,R,L,L,L,,,,,,,,,,,,,80,,,
12,R,L,L,L,L,,,,,,,,,,,,,80,,,
13,U,B,U,U,B,,,,,,,,,,,,,40,,,
14,L,L,L,L,L,,,,,,,,,,,,,100,,,
15,L,R,L,L,L,,,,,,,,,,,,,60,,,
16,R,R,L,L,L,,,,,,,,,,,,,60,,,
Day 8 180419,,,,,,,,,,,,,,,,,,,,,
1,L,R,L,L,L,,,,,,,,,,,,7,80,83.33333333,8.164965809,3.333333333
2,L,R,L,L,L,,,,,,,,,,,,,80,,,
3,L,L,L,L,L,,,,,,,,,,,,,100,,,
