,dec temp,habitual tendency,subject
0,3.0099225,4.149247,0
1,1.5607834,4.5312505,1
2,5.2040076,4.474187,2
3,4.723164,2.5184724,3
4,1.0085161,3.1641655,4
5,2.8327022,5.8725553,5
6,3.110762,5.4840617,6
7,2.7070541,2.0052485,7
8,4.9509435,7.269013,0
9,6.1214027,2.2221365,1
10,1.002601,7.559267,2
11,5.4729214,7.050639,3
12,0.97685385,5.7268815,4
13,4.0779543,7.8109956,5
14,5.2794914,4.6947937,6
15,5.1785426,6.12567,7
16,6.307043,2.2086375,0
17,3.0095563,5.0466557,1
18,3.6586852,8.27197,2
19,2.3553677,4.8481264,3
20,7.1283293,2.9139385,4
21,5.06365,6.2358613,5
22,5.203535,6.2001553,6
23,4.9766006,7.130394,7
24,1.8127741,5.130702,0
25,6.329033,8.462873,1
26,5.5970674,5.782523,2
27,5.631352,4.803313,3
28,8.002439,2.084539,4
29,2.180451,6.2310715,5
30,2.276166,2.6850274,6
31,2.6757584,8.387928,7
32,2.6108768,3.4935627,0
33,6.553691,1.7213012,1
34,3.8222442,7.79375,2
35,4.123398,3.4556937,3
36,7.7601185,0.8616373,4
37,7.9661274,8.022556,5
38,4.413933,5.390114,6
39,6.1397676,7.4541383,7
40,3.9063993,3.2949653,0
41,5.7341905,3.8028722,1
42,5.880149,6.2357435,2
43,3.6736565,5.1815057,3
44,4.352399,2.3917153,4
45,3.9933105,6.4564795,5
46,0.25861406,1.5782474,6
47,6.4501534,2.6614668,7
48,7.986674,1.1346598,0
49,4.425269,5.7410626,1
50,3.5459259,3.3196044,2
51,4.9384155,4.2400856,3
52,3.1091328,3.7545805,4
53,3.5059228,7.28157,5
54,3.3154843,4.2775335,6
55,3.9385748,7.836952,7
56,4.34598,3.74665,0
57,1.0164608,5.243739,1
58,4.2590723,4.4311256,2
59,1.6530066,1.8660133,3
60,5.346949,5.1020913,4
61,4.791767,7.473158,5
62,5.90292,2.3966262,6
63,3.2081566,4.527679,7
64,6.4725037,6.1819286,0
65,6.020832,2.1557243,1
66,1.9204752,4.432939,2
67,6.2369003,3.186653,3
68,4.3204956,6.306655,4
69,3.7328167,6.089859,5
70,1.0307419,2.3882,6
71,1.3716109,2.8153017,7
72,7.212288,2.8631237,0
73,1.5192618,2.5450528,1
74,1.8738914,6.8284626,2
75,6.2517667,4.19426,3
76,1.8356711,7.0971637,4
77,4.332654,7.443431,5
78,5.1094456,4.2368336,6
79,4.563815,1.8834281,7
80,3.3605218,2.471668,0
81,1.9658291,6.1479526,1
82,2.08566,5.638232,2
83,4.4673605,1.4692236,3
84,0.52531576,3.5598264,4
85,3.0820694,8.050502,5
86,4.480234,4.537052,6
87,4.1918473,7.754303,7
88,2.7641835,2.8420725,0
89,5.008252,1.334247,1
90,2.155327,4.1041603,2
91,3.75245,6.2867126,3
92,3.3238516,2.993114,4
