,inferred dec temp,subject,inferred habitual tendency
0,3.1443112,0,3.564958
1,3.1745694,1,5.4560947
2,2.9481137,2,5.445072
3,4.017304,3,3.1679585
4,3.145811,4,3.2766695
5,2.9775763,5,6.6020594
6,3.0090098,6,3.2649128
7,3.049328,7,3.3209865
