,dec temp,habitual tendency,subject
0,1.5830109,2.2296367,0
1,1.6977582,4.992715,1
2,2.2194457,4.5532985,2
3,3.077725,1.3047029,3
4,0.6049217,2.4297204,4
5,1.051732,6.1708217,5
6,1.186025,3.937963,6
7,2.1789074,4.406488,7
8,2.867123,2.0050876,0
9,2.46994,7.370473,1
10,2.9176464,6.9708776,2
11,2.0215883,1.299165,3
12,0.73089814,2.6202238,4
13,2.719573,7.007609,5
14,1.7855723,2.046085,6
15,2.650113,3.6532345,7
16,1.1679977,3.3023014,0
17,2.097275,6.4705057,1
18,2.559802,6.3091307,2
19,1.8954966,3.7997613,3
20,2.6520658,2.1128345,4
21,1.5960946,6.943445,5
22,1.519619,1.147114,6
23,3.4624586,2.189885,7
24,2.648909,2.2626166,0
25,1.1848738,2.0110993,1
26,1.6800462,5.4810214,2
27,5.0531526,0.864102,3
28,1.1625252,1.7209334,4
29,1.2956774,6.1758366,5
30,0.812652,3.577744,6
31,1.6153647,2.906941,7
32,0.7538619,2.4972062,0
33,1.6257685,6.306622,1
34,1.606968,5.7602797,2
35,4.448012,2.8365293,3
36,3.1633096,0.9135926,4
37,2.7558758,7.9696255,5
38,1.4133157,1.8058178,6
39,1.4000063,2.8581157,7
40,1.0643722,3.7576733,0
41,3.3662727,6.580185,1
42,2.3618648,7.7820005,2
43,1.5921953,2.2905777,3
44,0.97765213,4.6112533,4
45,2.8771183,8.377996,5
46,2.086295,1.8318288,6
47,0.64817417,4.731182,7
48,1.5140448,1.7853081,0
49,2.328057,5.4486656,1
50,1.3813413,6.5074496,2
51,6.319184,0.6630641,3
52,1.0018917,2.6958516,4
53,1.3533161,3.9932122,5
54,2.8035188,2.9954257,6
55,2.1615903,3.9664497,7
56,1.0980597,2.8055396,0
57,1.3883405,5.0239496,1
58,2.132605,5.2073503,2
59,2.5023417,2.7639232,3
60,2.752769,3.338499,4
61,1.931379,7.812087,5
62,1.7254639,3.5445461,6
63,2.2960126,4.596177,7
64,2.6669488,2.334181,0
65,2.0547326,4.248903,1
66,1.8833892,6.5341353,2
67,3.4826078,1.999372,3
68,3.0673764,0.61287993,4
69,2.6211956,8.441206,5
70,1.5402843,1.8768246,6
71,2.1771839,2.3581667,7
72,2.0326755,2.8193734,0
73,2.6477325,2.6322973,1
74,1.2125415,5.039642,2
75,5.3926,0.92218316,3
76,1.9394572,1.2105777,4
77,3.6511927,7.5022526,5
78,1.3709348,3.4998755,6
79,1.2186275,3.1803637,7
80,0.909295,2.0201347,0
81,1.175444,5.470121,1
82,2.3228452,5.291834,2
83,4.003158,1.7299825,3
84,1.5315425,0.93050385,4
85,2.883041,8.547059,5
86,1.9798774,2.808,6
87,2.6983247,3.5821495,7
88,3.0446646,2.694547,0
89,2.199025,3.2331696,1
90,2.1326902,6.69467,2
91,3.9436111,2.1323183,3
92,2.834384,1.9156772,4
93,1.324842,7.3765655,5
94,0.9359241,4.1995964,6
95,3.2667394,1.0556457,7
96,0.98916596,1.4390984,0
97,1.5561242,4.090575,1
98,1.7664493,5.917907,2
99,5.7988443,1.6139425,3
100,3.4444637,0.6267565,4
101,1.7117465,5.669126,5
102,1.8792826,0.8470745,6
