,animal,correct,group,valid,trial,trial_type,training_type,detailed_trial_type
57,44.0,0.0,control,False,57.0,training,early training,early training
58,44.0,0.0,control,False,58.0,training,early training,early training
59,44.0,0.0,control,False,59.0,training,early training,early training
60,44.0,0.0,control,False,60.0,training,early training,early training
61,44.0,0.0,control,False,61.0,training,early training,early training
62,44.0,0.0,control,False,62.0,training,early training,early training
63,44.0,0.0,control,False,63.0,training,early training,early training
64,44.0,0.0,control,False,64.0,training,early training,early training
65,44.0,0.0,control,False,65.0,training,early training,early training
66,44.0,0.0,control,False,66.0,training,early training,early training
67,44.0,0.0,control,False,67.0,training,early training,early training
68,44.0,0.0,control,False,68.0,training,early training,early training
69,44.0,0.0,control,False,69.0,training,early training,early training
70,44.0,0.0,control,False,70.0,training,early training,early training
71,44.0,0.0,control,False,71.0,training,early training,early training
72,44.0,0.0,control,False,72.0,training,early training,early training
73,44.0,0.0,control,False,73.0,training,early training,early training
74,44.0,0.0,control,False,74.0,training,early training,early training
75,44.0,0.0,control,True,75.0,early test,test,early test
76,44.0,0.0,control,True,76.0,early test,test,early test
77,44.0,0.0,control,True,77.0,early test,test,early test
78,44.0,1.0,control,True,78.0,early test,test,early test
79,44.0,0.0,control,True,79.0,early test,test,early test
80,44.0,1.0,control,True,80.0,training,late training,late training
81,44.0,1.0,control,True,81.0,training,late training,late training
82,44.0,1.0,control,True,82.0,training,late training,late training
83,44.0,1.0,control,True,83.0,training,late training,late training
84,44.0,1.0,control,True,84.0,training,late training,late training
85,44.0,1.0,control,True,85.0,training,late training,late training
86,44.0,1.0,control,True,86.0,training,late training,late training
87,44.0,1.0,control,True,87.0,training,late training,late training
88,44.0,1.0,control,True,88.0,training,late training,late training
89,44.0,1.0,control,True,89.0,training,late training,late training
90,44.0,1.0,control,True,90.0,training,late training,late training
91,44.0,1.0,control,True,91.0,training,late training,late training
92,44.0,1.0,control,True,92.0,training,late training,late training
93,44.0,1.0,control,True,93.0,training,late training,late training
94,44.0,1.0,control,True,94.0,training,late training,late training
95,44.0,1.0,control,True,95.0,training,late training,late training
96,44.0,1.0,control,True,96.0,training,late training,late training
97,44.0,1.0,control,True,97.0,training,late training,late training
98,44.0,1.0,control,True,98.0,training,late training,late training
99,44.0,1.0,control,True,99.0,training,late training,late training
100,44.0,1.0,control,True,100.0,training,late training,late training
101,44.0,1.0,control,True,101.0,training,late training,late training
102,44.0,1.0,control,True,102.0,training,late training,late training
103,44.0,1.0,control,True,103.0,training,late training,late training
104,44.0,1.0,control,True,104.0,training,late training,late training
105,44.0,1.0,control,True,105.0,training,late training,late training
106,44.0,1.0,control,True,106.0,training,late training,late training
107,44.0,1.0,control,True,107.0,training,late training,late training
108,44.0,1.0,control,True,108.0,training,late training,late training
109,44.0,1.0,control,True,109.0,training,late training,late training
110,44.0,1.0,control,True,110.0,training,late training,late training
111,44.0,1.0,control,True,111.0,training,late training,late training
112,44.0,1.0,control,True,112.0,training,late training,late training
113,44.0,1.0,control,True,113.0,training,late training,late training
114,44.0,1.0,control,True,114.0,training,late training,late training
115,44.0,1.0,control,True,115.0,training,late training,late training
116,44.0,1.0,control,True,116.0,training,late training,late training
117,44.0,1.0,control,True,117.0,training,late training,late training
118,44.0,1.0,control,True,118.0,training,late training,late training
119,44.0,1.0,control,True,119.0,training,late training,late training
120,44.0,1.0,control,True,120.0,training,late training,late training
121,44.0,1.0,control,True,121.0,training,late training,late training
122,44.0,1.0,control,True,122.0,training,late training,late training
123,44.0,1.0,control,True,123.0,training,late training,late training
124,44.0,1.0,control,True,124.0,training,late training,late training
125,44.0,1.0,control,True,125.0,training,late training,late training
126,44.0,1.0,control,True,126.0,training,late training,late training
127,44.0,1.0,control,True,127.0,training,late training,late training
128,44.0,1.0,control,True,128.0,training,late training,late training
129,44.0,1.0,control,True,129.0,training,late training,late training
130,44.0,0.0,control,False,130.0,training,late training,late training
131,44.0,0.0,control,False,131.0,training,late training,late training
132,44.0,0.0,control,False,132.0,training,late training,late training
133,44.0,0.0,control,False,133.0,training,late training,late training
134,44.0,0.0,control,False,134.0,training,late training,late training
135,44.0,0.0,control,False,135.0,training,late training,late training
136,44.0,0.0,control,False,136.0,training,late training,late training
137,44.0,0.0,control,False,137.0,training,late training,late training
138,44.0,0.0,control,False,138.0,training,late training,late training
139,44.0,0.0,control,False,139.0,training,late training,late training
140,44.0,0.0,control,False,140.0,training,late training,late training
141,44.0,0.0,control,False,141.0,training,late training,late training
142,44.0,0.0,control,False,142.0,training,late training,late training
143,44.0,0.0,control,False,143.0,training,late training,late training
144,44.0,0.0,control,False,144.0,training,late training,late training
145,44.0,0.0,control,False,145.0,training,late training,late training
146,44.0,0.0,control,False,146.0,training,late training,late training
147,44.0,0.0,control,False,147.0,training,late training,late training
148,44.0,0.0,control,False,148.0,training,late training,late training
149,44.0,0.0,control,False,149.0,training,late training,late training
150,44.0,0.0,control,False,150.0,training,late training,late training
151,44.0,0.0,control,False,151.0,training,late training,late training
152,44.0,0.0,control,False,152.0,training,late training,late training
153,44.0,0.0,control,False,153.0,training,late training,late training
154,44.0,0.0,control,False,154.0,training,late training,late training
155,44.0,1.0,control,True,155.0,late test,test,late test
156,44.0,0.0,control,True,156.0,late test,test,late test
157,44.0,1.0,control,True,157.0,late test,test,late test
158,44.0,0.0,control,True,158.0,late test,test,late test
159,44.0,1.0,control,True,159.0,late test,test,late test
160,45.0,0.0,control,True,0.0,training,early training,early training
161,45.0,0.0,control,True,1.0,training,early training,early training
162,45.0,0.0,control,True,2.0,training,early training,early training
163,45.0,0.0,control,True,3.0,training,early training,early training
164,45.0,0.0,control,True,4.0,training,early training,early training
165,45.0,0.0,control,True,5.0,training,early training,early training
166,45.0,0.0,control,True,6.0,training,early training,early training
167,45.0,0.0,control,True,7.0,training,early training,early training
168,45.0,1.0,control,True,8.0,training,early training,early training
169,45.0,1.0,control,True,9.0,training,early training,early training
170,45.0,0.0,control,True,10.0,training,early training,early training
171,45.0,0.0,control,True,11.0,training,early training,early training
172,45.0,0.0,control,True,12.0,training,early training,early training
173,45.0,0.0,control,True,13.0,training,early training,early training
174,45.0,0.0,control,True,14.0,training,early training,early training
175,45.0,0.0,control,True,15.0,training,early training,early training
176,45.0,0.0,control,True,16.0,training,early training,early training
177,45.0,1.0,control,True,17.0,training,early training,early training
178,45.0,0.0,control,True,18.0,training,early training,early training
179,45.0,0.0,control,True,19.0,training,early training,early training
180,45.0,0.0,control,True,20.0,training,early training,early training
181,45.0,0.0,control,True,21.0,training,early training,early training
182,45.0,0.0,control,True,22.0,training,early training,early training
183,45.0,1.0,control,True,23.0,training,early training,early training
184,45.0,1.0,control,True,24.0,training,early training,early training
185,45.0,0.0,control,True,25.0,training,early training,early training
186,45.0,0.0,control,True,26.0,training,early training,early training
187,45.0,1.0,control,True,27.0,training,early training,early training
188,45.0,1.0,control,True,28.0,training,early training,early training
189,45.0,1.0,control,True,29.0,training,early training,early training
190,45.0,0.0,control,True,30.0,training,early training,early training
191,45.0,1.0,control,True,31.0,training,early training,early training
192,45.0,1.0,control,True,32.0,training,early training,early training
193,45.0,1.0,control,True,33.0,training,early training,early training
194,45.0,1.0,control,True,34.0,training,early training,early training
195,45.0,1.0,control,True,35.0,training,early training,early training
196,45.0,1.0,control,True,36.0,training,early training,early training
197,45.0,1.0,control,True,37.0,training,early training,early training
198,45.0,1.0,control,True,38.0,training,early training,early training
199,45.0,1.0,control,True,39.0,training,early training,early training
200,45.0,0.0,control,False,40.0,training,early training,early training
201,45.0,0.0,control,False,41.0,training,early training,early training
202,45.0,0.0,control,False,42.0,training,early training,early training
203,45.0,0.0,control,False,43.0,training,early training,early training
204,45.0,0.0,control,False,44.0,training,early training,early training
205,45.0,0.0,control,False,45.0,training,early training,early training
206,45.0,0.0,control,False,46.0,training,early training,early training
207,45.0,0.0,control,False,47.0,training,early training,early training
208,45.0,0.0,control,False,48.0,training,early training,early training
209,45.0,0.0,control,False,49.0,training,early training,early training
210,45.0,0.0,control,False,50.0,training,early training,early training
211,45.0,0.0,control,False,51.0,training,early training,early training
212,45.0,0.0,control,False,52.0,training,early training,early training
213,45.0,0.0,control,False,53.0,training,early training,early training
214,45.0,0.0,control,False,54.0,training,early training,early training
215,45.0,0.0,control,False,55.0,training,early training,early training
216,45.0,0.0,control,False,56.0,training,early training,early training
217,45.0,0.0,control,False,57.0,training,early training,early training
218,45.0,0.0,control,False,58.0,training,early training,early training
219,45.0,0.0,control,False,59.0,training,early training,early training
220,45.0,0.0,control,False,60.0,training,early training,early training
221,45.0,0.0,control,False,61.0,training,early training,early training
222,45.0,0.0,control,False,62.0,training,early training,early training
223,45.0,0.0,control,False,63.0,training,early training,early training
224,45.0,0.0,control,False,64.0,training,early training,early training
225,45.0,0.0,control,False,65.0,training,early training,early training
226,45.0,0.0,control,False,66.0,training,early training,early training
227,45.0,0.0,control,False,67.0,training,early training,early training
228,45.0,0.0,control,False,68.0,training,early training,early training
229,45.0,0.0,control,False,69.0,training,early training,early training
230,45.0,0.0,control,False,70.0,training,early training,early training
231,45.0,0.0,control,False,71.0,training,early training,early training
232,45.0,0.0,control,False,72.0,training,early training,early training
233,45.0,0.0,control,False,73.0,training,early training,early training
234,45.0,0.0,control,False,74.0,training,early training,early training
235,45.0,0.0,control,True,75.0,early test,test,early test
236,45.0,0.0,control,True,76.0,early test,test,early test
237,45.0,1.0,control,True,77.0,early test,test,early test
238,45.0,0.0,control,True,78.0,early test,test,early test
239,45.0,0.0,control,True,79.0,early test,test,early test
240,45.0,1.0,control,True,80.0,training,late training,late training
241,45.0,0.0,control,True,81.0,training,late training,late training
242,45.0,1.0,control,True,82.0,training,late training,late training
243,45.0,1.0,control,True,83.0,training,late training,late training
244,45.0,1.0,control,True,84.0,training,late training,late training
245,45.0,1.0,control,True,85.0,training,late training,late training
246,45.0,1.0,control,True,86.0,training,late training,late training
247,45.0,1.0,control,True,87.0,training,late training,late training
248,45.0,1.0,control,True,88.0,training,late training,late training
249,45.0,1.0,control,True,89.0,training,late training,late training
250,45.0,0.0,control,True,90.0,training,late training,late training
251,45.0,1.0,control,True,91.0,training,late training,late training
252,45.0,1.0,control,True,92.0,training,late training,late training
253,45.0,1.0,control,True,93.0,training,late training,late training
