,inferred dec temp,subject,inferred habitual tendency
0,2.8018217,0,5.962035
1,2.9033556,1,3.817351
2,3.042796,2,2.9100196
3,3.3846397,3,3.3084748
4,2.9428575,4,3.050444
5,3.5276334,5,3.4121523
6,3.316723,6,3.4008906
