,inferred dec temp,true dec temp,subject
0,4.2309117,2.792401379760964,0
1,5.6710277,3.6301105239490266,1
2,5.7233624,3.5456695554130606,2
3,5.559762,5.061015350155731,3
4,5.7173634,5.636228582153958,4
5,4.087114,1.7002290713485404,5
6,4.9776697,3.602590047401775,6
7,4.149911,3.6230003656244993,7
