,inferred dec temp,true dec temp,subject,inferred habitual tendency,true habitual tendency
0,2.1141744,1.3058972681487724,0,0.44209537,0.5455835760008143
1,5.913371,2.4588766622649603,1,0.52048516,0.9168595924680459
2,4.4243283,3.346967098620217,2,0.4803391,0.0504231790098133
3,2.405922,0.7334919108363991,3,0.33517095,0.055921610282565926
4,2.3877096,2.7237501826020023,4,0.35443437,0.752543664775134
5,4.9101944,2.6067200847921823,5,0.41514042,0.8648328138584085
6,4.7662234,3.156875822851515,6,0.45229444,0.35337447675764555
7,3.0857284,0.3152109578644363,7,0.5299947,0.25688434302019225
8,2.045675,1.5062936776122564,8,0.39381555,0.05245876128077409
9,3.3559496,2.658157545777731,9,0.4912465,0.1503446333527121
